name,inst_id
Ariel University,https://openalex.org/I52170813
Aristotle University of Thessaloniki,https://openalex.org/I21370196
Arizona State University,https://openalex.org/I55732556
Arts et Métiers,https://openalex.org/I190861549
Asia University,https://openalex.org/I143578492
Assiut University,https://openalex.org/I91041137
Aston University,https://openalex.org/I169199633
Aswan University,https://openalex.org/I86310350
Atatürk University,https://openalex.org/I64134780
Ateneo de Manila University,https://openalex.org/I19722
Athens University of Economics and Business,https://openalex.org/I73142707
Atma Jaya Catholic University of Indonesia,https://openalex.org/I161010349
Atılım University,https://openalex.org/I45542416
Auburn University,https://openalex.org/I82497590
Auckland University of Technology,https://openalex.org/I39854758
Austral University,https://openalex.org/I16465266
Austral University of Chile,https://openalex.org/I16465266
Australian Catholic University,https://openalex.org/I86695891
Australian National University,https://openalex.org/I118347636
Autonomous University of Baja California,https://openalex.org/I173664879
Autonomous University of Barcelona,https://openalex.org/I123044942
Autonomous University of Madrid,https://openalex.org/I63634437
Autonomous University of Sinaloa,https://openalex.org/I196375840
Azarbaijan Shahid Madani University,https://openalex.org/I51301133
Azerbaijan State Oil and Industry University,https://openalex.org/I136806742
Azerbaijan State University of Economics,https://openalex.org/I4210086371
Azerbaijan Technical University,https://openalex.org/I26889942
BINUS University,https://openalex.org/I166073570
BRAC University,https://openalex.org/I5518804
Babcock University,https://openalex.org/I30887324
Babol Noshirvani University of Technology,https://openalex.org/I84248293
Babol University of Medical Sciences,https://openalex.org/I70876197
Badji Mokhtar University – Annaba,https://openalex.org/I108754898
Bahauddin Zakariya University,https://openalex.org/I127670440
Bahria University,https://openalex.org/I59225215
Bahçeşehir University,https://openalex.org/I128277893
Baku State University,https://openalex.org/I194342707
Balochistan University of Information Technology Engineering and Management Sciences,https://openalex.org/I143719379
Balıkesir University,https://openalex.org/I115600380
Banaras Hindu University,https://openalex.org/I91357014
Banasthali University,https://openalex.org/I102117144
Bandung Institute of Technology,https://openalex.org/I134635517
Bangabandhu Sheikh Mujibur Rahman Agricultural University,https://openalex.org/I222726646
Bangladesh Agricultural University,https://openalex.org/I24057909
Bangladesh University of Engineering and Technology,https://openalex.org/I183697816
Bangor University,https://openalex.org/I161548249
Baqiyatallah University of Medical Sciences,https://openalex.org/I120514687
Bar-Ilan University,https://openalex.org/I13955877
Bartin University,https://openalex.org/I254571519
Bashkir State Medical University,https://openalex.org/I4210120901
Bashkir State University,https://openalex.org/I138958963
Bauman Moscow State Technical University,https://openalex.org/I177537411
Bayero University,https://openalex.org/I919958821
Baylor University,https://openalex.org/I157394403
Başkent University,https://openalex.org/I188740104
Beihang University,https://openalex.org/I82880672
Beijing Forestry University,https://openalex.org/I31683504
Beijing Institute of Technology,https://openalex.org/I125839683
Beijing Jiaotong University,https://openalex.org/I21193070
Beijing Normal University,https://openalex.org/I25254941
Beijing University of Chemical Technology,https://openalex.org/I75390827
Beijing University of Technology,https://openalex.org/I37796252
Beirut Arab University,https://openalex.org/I36314861
Belarusian State University,https://openalex.org/I291386647
Belgorod National Research University,https://openalex.org/I120938084
Ben-Gurion University of the Negev,https://openalex.org/I124227911
Benemérita Universidad Autónoma de Puebla,https://openalex.org/I721619
Benha University,https://openalex.org/I207547235
Beni-Suef University,https://openalex.org/I113643904
Bernardo O’Higgins University,https://openalex.org/I4210086410
Beykent University,https://openalex.org/I8666313
Bharath Institute of Higher Education and Research,https://openalex.org/I860813019
Bharathiar University,https://openalex.org/I111575329
Bharathidasan University,https://openalex.org/I4076070
Bharati Vidyapeeth University,https://openalex.org/I887998513
Bialystok University of Technology,https://openalex.org/I1323121030
Bielefeld University,https://openalex.org/I20121455
Bilecik Şeyh Edebali University,https://openalex.org/I169255954
Bilkent University,https://openalex.org/I168864056
Birjand University of Medical Sciences,https://openalex.org/I95990688
"Birkbeck, University of London",https://openalex.org/I98259816
Birla Institute of Technology,https://openalex.org/I74796645
"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645
Birmingham City University,https://openalex.org/I12870472
Biruni University,https://openalex.org/I4210104933
Bogomolets National Medical University,https://openalex.org/I84407627
Bolu Abant Izzet Baysal University,https://openalex.org/I76973811
Bond University,https://openalex.org/I120125038
Boston College,https://openalex.org/I103531236
Boston University,https://openalex.org/I111088046
Botswana International University of Science and Technology,https://openalex.org/I216286881
Bournemouth University,https://openalex.org/I9300472
Bowling Green State University,https://openalex.org/I157417397
Bozok University,https://openalex.org/I2799303410
Boğaziçi University,https://openalex.org/I4405392
Brandeis University,https://openalex.org/I6902469
Brighton and Sussex Medical School,https://openalex.org/I100063501
Brno University of Technology,https://openalex.org/I60587646
Brock University,https://openalex.org/I186803428
Brown University,https://openalex.org/I27804330
Brunel University London,https://openalex.org/I59433898
Brunel University of London,https://openalex.org/I59433898
Bu-Ali Sina University,https://openalex.org/I167694869
Bucharest University of Economic Studies,https://openalex.org/I88491126
Budapest University of Technology and Economics,https://openalex.org/I29770179
Burapha University,https://openalex.org/I129488602
Burdur Mehmet Akif Ersoy University,https://openalex.org/I54515432
Bursa Technical University,https://openalex.org/I192257213
Bursa Uludağ University,https://openalex.org/I131835042
CES University,https://openalex.org/I4210128920
COMSATS University Islamabad,https://openalex.org/I16076960
CY Cergy Paris University,https://openalex.org/I4210142324
Cairo University,https://openalex.org/I145487455
California Institute of Technology,https://openalex.org/I122411786
"California Polytechnic State University, San Luis Obispo",https://openalex.org/I149919469
"California State University, Long Beach",https://openalex.org/I59897056
Canterbury Christ Church University,https://openalex.org/I119474363
Capital Medical University,https://openalex.org/I183519381
Capital University of Science and Technology,https://openalex.org/I4210088086
Cardiff Metropolitan University,https://openalex.org/I8408910
Cardiff University,https://openalex.org/I79510175
Cardinal Stefan Wyszyński University in Warsaw,https://openalex.org/I69984877
Carleton University,https://openalex.org/I67031392
Carlos III University of Madrid,https://openalex.org/I50357001
Carnegie Mellon University,https://openalex.org/I74973139
Case Western Reserve University,https://openalex.org/I58956616
Catholic University of Brasília,https://openalex.org/I24871856
Catholic University of Portugal,https://openalex.org/I25169866
Catholic University of the North,https://openalex.org/I2802166871
Ca’ Foscari University of Venice,https://openalex.org/I149461666
Ceará State University,https://openalex.org/I102939073
Central China Normal University,https://openalex.org/I40963666
Central European University,https://openalex.org/I198945027
Central Michigan University,https://openalex.org/I1629065
Central Queensland University,https://openalex.org/I74899385
Central South University,https://openalex.org/I139660479
Central University of Finance and Economics,https://openalex.org/I137867983
Central University of Haryana,https://openalex.org/I4210133503
Central University of Jammu,https://openalex.org/I4210142231
Central University of Punjab,https://openalex.org/I114724429
Central University of Venezuela,https://openalex.org/I82002896
Centrale Nantes,https://openalex.org/I100445878
CentraleSupélec,https://openalex.org/I4210107720
Centurion University of Technology and Management,https://openalex.org/I47639616
Chalmers University of Technology,https://openalex.org/I66862912
Chang Gung University,https://openalex.org/I173093425
Chang Gung University of Science and Technology,https://openalex.org/I141243467
Changsha University of Science and Technology,https://openalex.org/I56934997
Changzhou University,https://openalex.org/I4210153482
Chang’an University,https://openalex.org/I25355098
Chaoyang University of Technology,https://openalex.org/I126145234
Chapman University,https://openalex.org/I185071736
Charité - Universitätsmedizin Berlin,https://openalex.org/I7877124
Charles Darwin University,https://openalex.org/I29894533
Charles Sturt University,https://openalex.org/I153230381
Charles University,https://openalex.org/I21250087
Charles University in Prague,https://openalex.org/I21250087
Chaudhary Charan Singh University - Meerut,https://openalex.org/I303593345
Chelyabinsk State University,https://openalex.org/I137211346
Chemnitz University of Technology,https://openalex.org/I2610724
Chengdu University,https://openalex.org/I4210125143
Chiang Mai University,https://openalex.org/I48076826
Chiba Institute of Technology,https://openalex.org/I8488066
Chiba University,https://openalex.org/I159385669
China Agricultural University,https://openalex.org/I52158045
China Medical University,https://openalex.org/I91656880
China Pharmaceutical University,https://openalex.org/I161716053
"China University of Geosciences, Beijing",https://openalex.org/I3125743391
"China University of Geosciences, Wuhan",https://openalex.org/I3124059619
China University of Mining and Technology,https://openalex.org/I25757504
China University of Petroleum (East China),https://openalex.org/I4210162190
"China University of Petroleum, Beijing",https://openalex.org/I204553293
Chinese Culture University,https://openalex.org/I205612303
Chinese University of Hong Kong,https://openalex.org/I177725633
Chitkara University,https://openalex.org/I74319210
Chittagong University of Engineering & Technology,https://openalex.org/I102782458
Chongqing University,https://openalex.org/I158842170
Chonnam National University,https://openalex.org/I111277659
Chosun University,https://openalex.org/I152238500
Christ University,https://openalex.org/I48018076
Chubu University,https://openalex.org/I184937672
Chulalongkorn University,https://openalex.org/I158708052
Chung Shan Medical University,https://openalex.org/I91279580
Chung Yuan Christian University,https://openalex.org/I151221077
Chung-Ang University,https://openalex.org/I67900169
Chungbuk National University,https://openalex.org/I163753206
Chungnam National University,https://openalex.org/I196345858
Chuo University,https://openalex.org/I96679780
"City St George's, University of London",https://openalex.org/I4401726869
City University of Hong Kong,https://openalex.org/I168719708
City University of Macau,https://openalex.org/I6469544
"City, University of London",https://openalex.org/I180825142
Clark University,https://openalex.org/I130785548
Clarkson University,https://openalex.org/I16944753
Claude Bernard University Lyon 1,https://openalex.org/I100532134
Clemson University,https://openalex.org/I8078737
Cochin University of Science and Technology,https://openalex.org/I20497027
College of Charleston,https://openalex.org/I204593131
Colorado School of Mines,https://openalex.org/I167576493
Colorado State University,https://openalex.org/I92446798
Columbia University,https://openalex.org/I78577930
Comenius University Bratislava,https://openalex.org/I74788687
Comillas Pontifical University,https://openalex.org/I96580804
Communication University of China,https://openalex.org/I75689368
Complutense University of Madrid,https://openalex.org/I121748325
Concordia University,https://openalex.org/I60158472
Constructor University,https://openalex.org/I193619901
Constructor University Bremen,https://openalex.org/I193619901
Copenhagen Business School,https://openalex.org/I180519160
Cornell University,https://openalex.org/I205783295
Corvinus University of Budapest,https://openalex.org/I163245316
Covenant University,https://openalex.org/I186771145
Coventry University,https://openalex.org/I73417466
Cracow University of Technology,https://openalex.org/I24881138
Creighton University,https://openalex.org/I114493937
Cukurova University,https://openalex.org/I55931168
Curtin University,https://openalex.org/I205640436
Cyprus International University,https://openalex.org/I16197041
Cyprus University of Technology,https://openalex.org/I163151358
Czech Technical University in Prague,https://openalex.org/I44504214
Czech University of Life Sciences Prague,https://openalex.org/I205984670
DIT University,https://openalex.org/I933318745
DGIST,https://openalex.org/I193352282
Daffodil International University,https://openalex.org/I200606013
Dalhousie University,https://openalex.org/I129902397
Dalian University of Technology,https://openalex.org/I27357992
Damanhour University,https://openalex.org/I169744251
Damascus University,https://openalex.org/I875646752
Damghan University,https://openalex.org/I192805215
Damietta University,https://openalex.org/I126427551
Dankook University,https://openalex.org/I89015989
Dartmouth College,https://openalex.org/I107672454
Datta Meghe Institute of Higher Education and Research,https://openalex.org/I4210130476
De La Salle University,https://openalex.org/I5996616
De Montfort University,https://openalex.org/I66943878
Deakin University,https://openalex.org/I149704539
Del Rosario University,https://openalex.org/I4399598419
Delft University of Technology,https://openalex.org/I98358874
Delhi Technological University,https://openalex.org/I863896202
Delta University for Science and Technology,https://openalex.org/I882248123
Democritus University of Thrace,https://openalex.org/I147962203
Dhofar University,https://openalex.org/I4210150237
Dicle University,https://openalex.org/I123466251
Diego Portales University,https://openalex.org/I911713783
Diponegoro University,https://openalex.org/I11855966
Dnipro University of Technology,https://openalex.org/I64712228
Dokkyo Medical University,https://openalex.org/I78274823
Dokuz Eylül University,https://openalex.org/I193615760
Don State Technical University,https://openalex.org/I4210097717
Donghua University,https://openalex.org/I181326427
Doshisha University,https://openalex.org/I133984924
Dow University of Health Sciences,https://openalex.org/I39727005
Dr. M.G.R. Educational and Research Institute,https://openalex.org/I19926482
Drexel University,https://openalex.org/I72816309
Dublin City University,https://openalex.org/I42934936
Dublin Institute of Technology,https://openalex.org/I4387153685
Duke University,https://openalex.org/I170897317
Dumlupinar University,https://openalex.org/I3018710136
Dunarea de Jos University of Galati,https://openalex.org/I3122748864
Durban University of Technology,https://openalex.org/I177181097
Durham University,https://openalex.org/I190082696
Duy Tan University,https://openalex.org/I170238339
Duzce University,https://openalex.org/I54001450
EAFIT University,https://openalex.org/I862322245
ENSTA Bretagne,https://openalex.org/I4210148559
ESPCI Paris,https://openalex.org/I98910050
ETH Zurich,https://openalex.org/I35440088
East Carolina University,https://openalex.org/I186335123
East China Normal University,https://openalex.org/I66867065
East China University of Science and Technology,https://openalex.org/I143593769
East China University of Technology,https://openalex.org/I143593769
East West University,https://openalex.org/I885507782
Eastern Mediterranean University,https://openalex.org/I36515993
Edge Hill University,https://openalex.org/I165525304
Edinburgh Napier University,https://openalex.org/I251738
Edith Cowan University,https://openalex.org/I12079687
Ege University,https://openalex.org/I41641357
Egypt Japan University of Science and Technology,https://openalex.org/I32619867
Ehime University,https://openalex.org/I43545212
Eindhoven University of Technology,https://openalex.org/I83019370
